DESCRIPTION,INCIDENT_MOBILE_AVAIL,INCIDENT_TIME_IN_ATTEND,INCIDENT_TIME_MOBILE,INCIDENT_TIME_OF_CALL,INCIDENT_TIME_ORDERED,INCIDENT_TIME_SHUT_DOWN,ISR_NO,LATITUDE,LEVEL4,LEVEL5,LONGITUDE,mssql_type,_overlaps
FIRE/DOMESTIC PERSONS REPORTED,20150321103552.000000000,20150321102902.000000000,20150321102341.000000000,20150321102015.000000000,20150321102210.000000000,20150321111648.000000000,DF-15-003438,    232072,B,D7,    307005,,1
FIRE/DOMESTIC PERSONS REPORTED,20150320191547.000000000,20150320185453.000000000,20150320185131.000000000,20150320184849.000000000,20150320185042.000000000,20150320215830.000000000,DF-15-003408,    233712,E,D10,    316613,,1
FIRE/CARAVAN,20150320184621.000000000,20150320183749.000000000,20150320183134.000000000,20150320182837.000000000,20150320183018.000000000,20150320185703.000000000,DF-15-003405,    232667,B,D2,    310025,,1
FIRE/DOMESTIC PERSONS REPORTED,20150320184451.000000000,20150320173300.000000000,20150320172827.000000000,20150320172635.000000000,20150320172715.000000000,20150321000818.000000000,DF-15-003402,    240260,D,D6,    321418,,1
FIRE/DOMESTIC,20150320151625.000000000,20150320150732.000000000,20150320150445.000000000,20150320150141.000000000,20150320150401.000000000,20150320162543.000000000,DF-15-003391,    233143,B,D2,    313793,,1
FIRE/DOMESTIC PERSONS REPORTED,20150320003337.000000000,20150320001545.000000000,20150320001140.000000000,20150320000829.000000000,20150320000935.000000000,20150320010635.000000000,DF-15-003363,    237550,D,D6,    319302,,1
FIRE/DOMESTIC,20150319170409.000000000,20150319165638.000000000,20150319164852.000000000,20150319164538.000000000,20150319164738.000000000,20150319172430.000000000,DF-15-003336,    225770,A,D12,    318403,,1
FIRE/DOMESTIC,20150319164901.000000000,20150319161425.000000000,20150319160748.000000000,20150319160447.000000000,20150319160645.000000000,20150319165329.000000000,DF-15-003333,    232316,B,D2,    314966,,1
FIRE/DOMESTIC PERSONS REPORTED,20150319030549.000000000,20150319025525.000000000,20150319025419.000000000,20150319024904.000000000,20150319025138.000000000,20150319030930.000000000,DF-15-003319,    235593,E,D10,    316225,,1
FIRE/DOMESTIC,20150318223342.000000000,20150318221744.000000000,20150318221323.000000000,20150318221120.000000000,20150318221211.000000000,20150318231321.000000000,DF-15-003308,    236285,C,D3,    313365,,1
FIRE/DOMESTIC PERSONS REPORTED,20150318210809.000000000,20150318164429.000000000,20150318164332.000000000,20150318164025.000000000,20150318164242.000000000,20150318210814.000000000,DF-15-003294,    240797,C,D9,    306851,,1
FIRE/DOMESTIC,20150318085327.000000000,20150318084252.000000000,20150318083959.000000000,20150318083645.000000000,20150318083754.000000000,20150318090344.000000000,DF-15-003279,    234783,C,D3,    315212,,1
FIRE/UNDERGROUND,20150317140048.000000000,20150317131134.000000000,20150317130032.000000000,20150317125818.000000000,20150317125912.000000000,20150317140509.000000000,DF-15-003211,    246327,F,D13,    318268,,1
FIRE/DOMESTIC,20150317131706.000000000,20150317125846.000000000,20150317124903.000000000,20150317124635.000000000,20150317124808.000000000,20150317132859.000000000,DF-15-003210,    243030,D,D6,    323852,,1
FIRE/DOMESTIC,20150317091348.000000000,20150317081627.000000000,20150317081319.000000000,20150317081041.000000000,20150317081154.000000000,20150317114131.000000000,DF-15-003209,    235350,D,D4,    317169,,1
FIRE/DOMESTIC,20150317001155.000000000,20150316231104.000000000,20150316230846.000000000,20150316230535.000000000,20150316230713.000000000,20150317001157.000000000,DF-15-003203,    235963,D,D4,    317217,,1
FIRE/DOMESTIC PERSONS REPORTED,20150316211634.000000000,20150316202126.000000000,20150316202004.000000000,20150316201718.000000000,20150316201844.000000000,20150316211635.000000000,DF-15-003189,    235617,C,D3,    314785,,1
FIRE/DOMESTIC PERSONS REPORTED,20150316213745.000000000,20150316201233.000000000,20150316200833.000000000,20150316200627.000000000,20150316200707.000000000,20150316214337.000000000,DF-15-003183,    240676,F,D5,    314395,,1
FIRE/DOMESTIC,20150315213037.000000000,20150315211834.000000000,20150315210757.000000000,20150315210556.000000000,20150315210636.000000000,20150315223436.000000000,DF-15-003151,    240984,C,D9,    308642,,1
FIRE/DOMESTIC,20150315161242.000000000,20150315154908.000000000,20150315153951.000000000,20150315153748.000000000,20150315153836.000000000,20150315161621.000000000,DF-15-003126,    229094,B,D7,    308033,,1
FIRE/DOMESTIC,20150728195640.000000000,20150728192557.000000000,20150728191754.000000000,20150728191530.000000000,20150728191648.000000000,20150728204834.000000000,DF-15-010213,    224651,A,D12,    320875,,1
FIRE/DOMESTIC,20150728030030.000000000,20150728025708.000000000,20150728025146.000000000,20150728024811.000000000,20150728024956.000000000,20150728035022.000000000,DF-15-010187,    231927,B,D7,    305784,,1
FIRE/DOMESTIC,20150728004205.000000000,20150728001511.000000000,20150728000824.000000000,20150728000551.000000000,20150728000651.000000000,20150728005915.000000000,DF-15-010182,    240415,F,D5,    315661,,1
FIRE/DOMESTIC,20150727223918.000000000,20150727223730.000000000,20150727223307.000000000,20150727222926.000000000,20150727223148.000000000,20150727232858.000000000,DF-15-010179,    231417,B,D7,    305570,,1
FIRE/DOMESTIC,20150727205330.000000000,20150727203132.000000000,20150727202453.000000000,20150727202157.000000000,20150727202353.000000000,20150727223150.000000000,DF-15-010177,    233461,B,D7,    309707,,1
FIRE/DOMESTIC,20150727020355.000000000,20150727015441.000000000,20150727014759.000000000,20150727014327.000000000,20150727014555.000000000,20150727020854.000000000,DF-15-010150,    237051,D,D4,    317487,,1
FIRE/DOMESTIC,20150725232538.000000000,20150725232133.000000000,20150725231553.000000000,20150725231211.000000000,20150725231414.000000000,20150725235455.000000000,DF-15-010084,    233437,E,D10,    315087,,1
FIRE/UNDERGROUND,20150725224710.000000000,20150725223813.000000000,20150725223150.000000000,20150725222825.000000000,20150725223023.000000000,20150725230918.000000000,DF-15-010077,    233688,E,D10,    315687,,1
FIRE/DOMESTIC,20150725150300.000000000,20150725143003.000000000,20150725142640.000000000,20150725142213.000000000,20150725142453.000000000,20150725150312.000000000,DF-15-010032,    237133,C,D3,    317399,,1
FIRE/DOMESTIC,20150725012827.000000000,20150725012316.000000000,20150725012113.000000000,20150725011731.000000000,20150725011923.000000000,20150725013613.000000000,DF-15-010010,    233361,B,D2,    312681,,1
FIRE/DOMESTIC,20150724234348.000000000,20150724231104.000000000,20150724230349.000000000,20150724230013.000000000,20150724230213.000000000,20150725000809.000000000,DF-15-010006,    225712,B,D7,    308497,,1
FIRE/DOMESTIC PERSONS REPORTED,20150724190002.000000000,20150724181628.000000000,20150724180726.000000000,20150724180432.000000000,20150724180544.000000000,20150724193021.000000000,DF-15-009980,    228050,A,D8,    314558,,1
FIRE/DOMESTIC PERSONS REPORTED,20150724180316.000000000,20150724174653.000000000,20150724173951.000000000,20150724173659.000000000,20150724173830.000000000,20150724184752.000000000,DF-15-009977,    229408,B,D7,    305691,,1
FIRE/DOMESTIC PERSONS REPORTED,20150724012122.000000000,20150724011224.000000000,20150724010945.000000000,20150724010651.000000000,20150724010741.000000000,20150724012532.000000000,DF-15-009962,    233596,B,D2,    312334,,1
FIRE/DOMESTIC PERSONS REPORTED,20150723233526.000000000,20150723232032.000000000,20150723231710.000000000,20150723231320.000000000,20150723231539.000000000,20150724015915.000000000,DF-15-009950,    235859,C,D3,    315910,,1
FIRE/DOMESTIC PERSONS REPORTED,20150723194826.000000000,20150723193425.000000000,20150723192929.000000000,20150723192601.000000000,20150723192810.000000000,20150723200245.000000000,DF-15-009921,    237551,D,D6,    319887,,1
FIRE/DOMESTIC,20150723193538.000000000,20150723192245.000000000,20150723191353.000000000,20150723191116.000000000,20150723191255.000000000,20150723194816.000000000,DF-15-009919,    224787,A,D12,    320797,,1
FIRE/DOMESTIC,20150723131026.000000000,20150723130312.000000000,20150723125158.000000000,20150723124941.000000000,20150723125048.000000000,20150723134315.000000000,DF-15-009906,    233188,B,D7,    303264,,1
FIRE/DOMESTIC PERSONS REPORTED,20150723022624.000000000,20150723020745.000000000,20150723020401.000000000,20150723015957.000000000,20150723020221.000000000,20150723022901.000000000,DF-15-009891,    233747,B,D2,    315005,,1
FIRE/DOMESTIC,20150722235143.000000000,20150722233615.000000000,20150722232354.000000000,20150722231921.000000000,20150722232253.000000000,20150723000732.000000000,DF-15-009883,    255885,F,D24,    326245,,1
FIRE/DOMESTIC,20150722193929.000000000,20150722192729.000000000,20150722192731.000000000,20150722192428.000000000,20150722192612.000000000,20150722204706.000000000,DF-15-009866,    237267,C,D3,    312044,,1
FIRE/DOMESTIC,20150722011943.000000000,20150722010804.000000000,20150722010223.000000000,20150722005831.000000000,20150722010051.000000000,20150722012411.000000000,DF-15-009834,    240016,F,D5,    315138,,1
FIRE/DOMESTIC,20150721195122.000000000,20150721192416.000000000,20150721191947.000000000,20150721191710.000000000,20150721191848.000000000,20150721200006.000000000,DF-15-009817,    234132,C,D3,    314360,,1
FIRE/DOMESTIC,20150720112247.000000000,20150720100932.000000000,20150720100233.000000000,20150720100011.000000000,20150720100126.000000000,20150720112853.000000000,DF-15-009760,    223063,A,D12,    325357,,1
FIRE/DOMESTIC,20150315140112.000000000,20150315132428.000000000,20150315131920.000000000,20150315131739.000000000,20150315131831.000000000,20150315141140.000000000,DF-15-003122,    233496,B,D2,    310675,,1
FIRE/DOMESTIC PERSONS REPORTED,20150314205216.000000000,20150314205126.000000000,20150314204617.000000000,20150314204355.000000000,20150314204452.000000000,20150314215200.000000000,DF-15-003098,    234451,C,D3,    314586,,1
FIRE/DOMESTIC,20150314201054.000000000,20150314200000.000000000,20150314195537.000000000,20150314195330.000000000,20150314195429.000000000,20150314201812.000000000,DF-15-003097,    240483,F,D5,    314557,,1
FIRE/DOMESTIC,20150314164104.000000000,20150314163814.000000000,20150314163638.000000000,20150314163415.000000000,20150314163542.000000000,20150314164429.000000000,DF-15-003095,    233181,B,D2,    313643,,1
FIRE/DOMESTIC,20150314134148.000000000,20150314133337.000000000,20150314132713.000000000,20150314132410.000000000,20150314132614.000000000,20150314144136.000000000,DF-15-003084,    232723,B,D2,    309925,,1
FIRE/DOMESTIC,20150314055304.000000000,20150314053053.000000000,20150314052635.000000000,20150314052105.000000000,20150314052340.000000000,20150314055445.000000000,DF-15-003076,    236323,C,D3,    315913,,1
FIRE/DOMESTIC,20150313224002.000000000,20150313215911.000000000,20150313215403.000000000,20150313215159.000000000,20150313215300.000000000,20150313225041.000000000,DF-15-003052,    234084,C,D3,    309935,,1
FIRE/DOMESTIC PERSONS REPORTED,20150313182325.000000000,20150313181757.000000000,20150313180840.000000000,20150313180524.000000000,20150313180731.000000000,20150313185103.000000000,DF-15-003042,    233313,B,D7,    304987,,1
FIRE/DOMESTIC PERSONS REPORTED,20150313011923.000000000,20150313002140.000000000,20150313001727.000000000,20150313001546.000000000,20150313001704.000000000,20150313012409.000000000,DF-15-003018,    235036,C,D3,    313494,,1
FIRE/DOMESTIC,20150312153744.000000000,20150312143339.000000000,20150312142745.000000000,20150312142530.000000000,20150312142640.000000000,20150312155559.000000000,DF-15-003000,    227214,A,D8,    315506,,1
FIRE/DOMESTIC,20150312130834.000000000,20150312130116.000000000,20150312125737.000000000,20150312125313.000000000,20150312125556.000000000,20150312132435.000000000,DF-15-002996,    238750,C,D9,    305000,,1
FIRE/DOMESTIC,20150312124852.000000000,20150312124014.000000000,20150312123042.000000000,20150312122543.000000000,20150312122911.000000000,20150312130600.000000000,DF-15-002995,    226014,A,D12,    323374,,1
FIRE/DOMESTIC,20150311171419.000000000,20150311171244.000000000,20150311170611.000000000,20150311170226.000000000,20150311170458.000000000,20150311173219.000000000,DF-15-002955,    223290,A,D12,    325306,,1
FIRE/DOMESTIC,20150311150401.000000000,20150311140345.000000000,20150311135734.000000000,20150311135550.000000000,20150311135615.000000000,20150311152237.000000000,DF-15-002951,    226985,B,D7,    306362,,1
FIRE/DOMESTIC PERSONS REPORTED,20150311024217.000000000,20150311012703.000000000,20150311012351.000000000,20150311012142.000000000,20150311012308.000000000,20150311025006.000000000,DF-15-002937,    227065,A,D12,    325406,,1
FIRE/DOMESTIC,20150310153444.000000000,20150310142322.000000000,20150310141615.000000000,20150310141338.000000000,20150310141452.000000000,20150310153912.000000000,DF-15-002912,    227803,A,D8,    315579,,1
FIRE/UNDERGROUND,20150310114106.000000000,20150310105440.000000000,20150310104900.000000000,20150310104607.000000000,20150310104736.000000000,20150310132722.000000000,DF-15-002908,    227646,B,D7,    309656,,1
FIRE/DOMESTIC,20150309164738.000000000,20150309163309.000000000,20150309163054.000000000,20150309162707.000000000,20150309162934.000000000,20150309171022.000000000,DF-15-002889,    233181,B,D2,    313643,,1
FIRE/DOMESTIC,20150308180228.000000000,20150308171021.000000000,20150308165849.000000000,20150308165636.000000000,20150308165736.000000000,20150308181827.000000000,DF-15-002855,    258386,F,D23,    320373,,1
FIRE/DOMESTIC,20150308143404.000000000,20150308140513.000000000,20150308140302.000000000,20150308135931.000000000,20150308140127.000000000,20150308143454.000000000,DF-15-002851,    239145,F,D5,    314317,,1
FIRE/DOMESTIC PERSONS REPORTED,20150308113749.000000000,,20150308110706.000000000,20150308105443.000000000,20150308110559.000000000,20150308131707.000000000,DF-15-002849,    234271,E,D10,    316333,,1
FIRE/DOMESTIC,20150307220642.000000000,20150307215723.000000000,20150307215118.000000000,20150307214734.000000000,20150307215004.000000000,20150307221800.000000000,DF-15-002833,    224056,A,D12,    325691,,1
FIRE/DOMESTIC,20150307135412.000000000,20150307112716.000000000,20150307112848.000000000,20150307112442.000000000,20150307112536.000000000,20150307142805.000000000,DF-15-002794,    264412,F,D23,    319285,,1
FIRE/UNDERGROUND,20150306231944.000000000,20150306212859.000000000,20150306212244.000000000,20150306212100.000000000,20150306212210.000000000,20150306231946.000000000,DF-15-002772,    226752,B,D7,    302091,,1
FIRE/DOMESTIC,20150719205258.000000000,20150719203407.000000000,20150719203126.000000000,20150719202922.000000000,20150719203041.000000000,20150719214359.000000000,DF-15-009747,    232855,B,D2,    311313,,1
FIRE/DOMESTIC,20150719090758.000000000,20150719074334.000000000,20150719074056.000000000,20150719073727.000000000,20150719073831.000000000,20150719091245.000000000,DF-15-009724,    232931,A,D1,    316194,,1
FIRE/DOMESTIC,20150719040732.000000000,20150719034531.000000000,20150719034210.000000000,20150719033801.000000000,20150719034018.000000000,20150719041925.000000000,DF-15-009722,    233694,B,D2,    313390,,1
FIRE/DOMESTIC,20150719011510.000000000,20150719004913.000000000,20150719004507.000000000,20150719004210.000000000,20150719004335.000000000,20150719011949.000000000,DF-15-009719,    230320,A,D1,    319452,,1
FIRE/DOMESTIC PERSONS REPORTED,20150718194236.000000000,20150718193755.000000000,20150718193036.000000000,20150718192714.000000000,20150718192903.000000000,20150718201231.000000000,DF-15-009698,    233892,B,D7,    306756,,1
FIRE/DOMESTIC,20150718192801.000000000,20150718190703.000000000,20150718190459.000000000,20150718190205.000000000,20150718190336.000000000,20150718193642.000000000,DF-15-009691,    235880,C,D3,    315507,,1
FIRE/DOMESTIC PERSONS REPORTED,20150718193341.000000000,20150718190313.000000000,20150718185832.000000000,20150718185641.000000000,20150718185718.000000000,20150718194021.000000000,DF-15-009690,    239563,D,D6,    319489,,1
FIRE/DOMESTIC,20150718183917.000000000,20150718183117.000000000,20150718182639.000000000,20150718182220.000000000,20150718182512.000000000,20150718190045.000000000,DF-15-009688,    233010,A,D1,    318732,,1
FIRE/DOMESTIC,20150718182700.000000000,20150718181935.000000000,20150718181017.000000000,20150718180756.000000000,20150718180933.000000000,20150718184006.000000000,DF-15-009687,    222303,A,D12,    325766,,1
FIRE/DOMESTIC PERSONS REPORTED,20150718142251.000000000,20150718121513.000000000,20150718121135.000000000,20150718120952.000000000,20150718121055.000000000,20150718162319.000000000,DF-15-009677,    233186,B,D2,    313733,,1
FIRE/DOMESTIC,20150717185707.000000000,20150717183618.000000000,20150717183206.000000000,20150717182913.000000000,20150717183033.000000000,20150717190746.000000000,DF-15-009657,    237811,D,D4,    318538,,1
FIRE/DOMESTIC,20150716205039.000000000,20150716194112.000000000,20150716193203.000000000,20150716192748.000000000,20150716193023.000000000,20150716205907.000000000,DF-15-009622,    225287,A,D12,    325804,,1
FIRE/DOMESTIC PERSONS REPORTED,20150716011101.000000000,20150716003501.000000000,20150716003004.000000000,20150716002714.000000000,20150716002847.000000000,20150716015244.000000000,DF-15-009589,    226891,B,D7,    309231,,1
FIRE/CARAVAN,20150715234954.000000000,,20150715233522.000000000,20150715233157.000000000,20150715233403.000000000,20150715235953.000000000,DF-15-009584,    231418,B,D7,    302481,,1
FIRE/DOMESTIC,20150715233137.000000000,20150715231104.000000000,20150715230712.000000000,20150715230353.000000000,20150715230505.000000000,20150716015507.000000000,DF-15-009582,    225537,A,D12,    321175,,1
FIRE/DOMESTIC,20150715214357.000000000,20150715213435.000000000,20150715213223.000000000,20150715212914.000000000,20150715213045.000000000,20150715214805.000000000,DF-15-009574,    236108,C,D3,    315700,,1
FIRE/DOMESTIC,20150715185829.000000000,20150715173252.000000000,20150715172823.000000000,20150715172447.000000000,20150715172655.000000000,20150715223303.000000000,DF-15-009533,    227372,A,D8,    314921,,1
FIRE/DOMESTIC,20150715063331.000000000,20150715061026.000000000,20150715060641.000000000,20150715060410.000000000,20150715060456.000000000,20150715064018.000000000,DF-15-009498,    233714,B,D2,    313844,,1
FIRE/DOMESTIC,20150714182758.000000000,20150714172205.000000000,20150714171806.000000000,20150714171638.000000000,20150714171715.000000000,20150714183518.000000000,DF-15-009471,    228852,B,D7,    309939,,1
FIRE/DOMESTIC,20150714152303.000000000,20150714150434.000000000,20150714150114.000000000,20150714145909.000000000,20150714145947.000000000,20150714160639.000000000,DF-15-009463,    235985,C,D3,    314507,,1
FIRE/DOMESTIC,20150714135525.000000000,20150714133643.000000000,20150714133524.000000000,20150714133228.000000000,20150714133412.000000000,20150714141357.000000000,DF-15-009455,    235667,D,D4,    316822,,1
FIRE/DOMESTIC,20150714112243.000000000,20150714111113.000000000,20150714110356.000000000,20150714110037.000000000,20150714110222.000000000,20150714115539.000000000,DF-15-009452,    228474,A,D12,    323461,,1
FIRE/DOMESTIC,20150714010631.000000000,20150714005833.000000000,20150714005321.000000000,20150714005046.000000000,20150714005238.000000000,20150714011257.000000000,DF-15-009443,    241190,C,D9,    306835,,1
FIRE/CARAVAN,20150713161005.000000000,,20150713155756.000000000,20150713155316.000000000,20150713155722.000000000,20150713162803.000000000,DF-15-009421,    241416,D,D6,    323598,,1
FIRE/DOMESTIC,20150713161120.000000000,20150713155921.000000000,20150713155622.000000000,20150713155249.000000000,20150713155459.000000000,20150713173925.000000000,DF-15-009420,    233963,E,D10,    316855,,1
FIRE/DOMESTIC,20150713160736.000000000,20150713153456.000000000,20150713153029.000000000,20150713152616.000000000,20150713152909.000000000,20150713161452.000000000,DF-15-009417,    232872,A,D1,    317451,,1
FIRE/DOMESTIC,20150712222750.000000000,20150712205340.000000000,20150712204358.000000000,20150712203940.000000000,20150712204127.000000000,20150712230033.000000000,DF-15-009386,    254318,F,D24,    325618,,1
FIRE/DOMESTIC,20150713001537.000000000,20150712203554.000000000,20150712202849.000000000,20150712202706.000000000,20150712202752.000000000,20150713004618.000000000,DF-15-009382,    219443,A,D12,    325815,,1
FIRE/DOMESTIC,20150712185339.000000000,20150712181700.000000000,20150712181409.000000000,20150712181113.000000000,20150712181344.000000000,20150712200807.000000000,DF-15-009373,    233009,B,D2,    314372,,1
FIRE/DOMESTIC,20150712120125.000000000,20150712115339.000000000,20150712115016.000000000,20150712114657.000000000,20150712114856.000000000,20150712123010.000000000,DF-15-009357,    233922,E,D10,    317609,,1
FIRE/DOMESTIC,20150712030832.000000000,20150712024059.000000000,20150712023821.000000000,20150712023530.000000000,20150712023648.000000000,20150712031107.000000000,DF-15-009341,    233110,B,D2,    313325,,1
FIRE/DOMESTIC,20150712020557.000000000,20150712010151.000000000,20150712005928.000000000,20150712005726.000000000,20150712005758.000000000,20150712021022.000000000,DF-15-009337,    233513,B,D2,    314164,,1
FIRE/DOMESTIC PERSONS REPORTED,20150711212811.000000000,20150711205843.000000000,20150711205132.000000000,20150711204901.000000000,20150711205015.000000000,20150711233518.000000000,DF-15-009331,    222395,A,D12,    325023,,1
FIRE/DOMESTIC,20150711164612.000000000,20150711155439.000000000,20150711155123.000000000,20150711154907.000000000,20150711154945.000000000,20150711175303.000000000,DF-15-009309,    235150,E,D10,    316600,,1
FIRE/DOMESTIC,20150711121016.000000000,20150711115620.000000000,20150711115041.000000000,20150711114834.000000000,20150711114929.000000000,20150711133648.000000000,DF-15-009304,    240311,C,D9,    304169,,1
FIRE/DOMESTIC,20150711043116.000000000,20150711042131.000000000,20150711041729.000000000,20150711041227.000000000,20150711041547.000000000,20150711043605.000000000,DF-15-009287,    234148,C,D3,    314311,,1
FIRE/DOMESTIC,20150710202519.000000000,20150710200207.000000000,20150710195526.000000000,20150710195145.000000000,20150710195317.000000000,20150710214707.000000000,DF-15-009236,    234887,C,D3,    314251,,1
FIRE/HIGHRISE BUILDINGS,20150710154305.000000000,20150710134638.000000000,20150710134331.000000000,20150710134009.000000000,20150710134205.000000000,20150710160511.000000000,DF-15-009223,    240852,D,D6,    321392,,1
FIRE/DOMESTIC,20150710073024.000000000,20150710065011.000000000,20150710064444.000000000,20150710064249.000000000,20150710064326.000000000,20150710081509.000000000,DF-15-009203,    239917,C,D9,    307304,,1
FIRE/CARAVAN,20150710000141.000000000,20150709233606.000000000,20150709232844.000000000,20150709232514.000000000,20150709232719.000000000,20150710000326.000000000,DF-15-009187,    234772,B,D7,    307115,,1
FIRE/DOMESTIC,20150710000321.000000000,20150709231325.000000000,20150709230909.000000000,20150709230545.000000000,20150709230725.000000000,20150710000602.000000000,DF-15-009186,    234940,C,D3,    313556,,1
FIRE/DOMESTIC,20150709203744.000000000,20150709201341.000000000,20150709200354.000000000,20150709200101.000000000,20150709200240.000000000,20150709212313.000000000,DF-15-009166,    227327,A,D8,    317398,,1
FIRE/DOMESTIC,20150709182912.000000000,20150709180212.000000000,20150709175746.000000000,20150709175425.000000000,20150709175635.000000000,20150709191220.000000000,DF-15-009149,    227592,B,D7,    309086,,1
FIRE/DOMESTIC PERSONS REPORTED,20150709014113.000000000,20150709011558.000000000,20150709011001.000000000,20150709010526.000000000,20150709010838.000000000,20150709014902.000000000,DF-15-009107,    245484,F,D13,    318885,,1
FIRE/DOMESTIC,20150708214727.000000000,20150708213934.000000000,20150708213640.000000000,20150708213302.000000000,20150708213509.000000000,20150708233009.000000000,DF-15-009100,    230119,A,D1,    317520,,1
FIRE/DOMESTIC,20150708191610.000000000,20150708183335.000000000,20150708182757.000000000,20150708182447.000000000,20150708182652.000000000,20150708192546.000000000,DF-15-009093,    230961,A,D1,    315647,,1
FIRE/DOMESTIC,,,20150707195656.000000000,20150707195333.000000000,20150707195536.000000000,20150707195750.000000000,DF-15-009071,    225952,B,D7,    308809,,1
FIRE/DOMESTIC,20150707165019.000000000,20150707164800.000000000,20150707164356.000000000,20150707163847.000000000,20150707164234.000000000,20150707172300.000000000,DF-15-009065,    231899,B,D2,    313127,,1
FIRE/DOMESTIC PERSONS REPORTED,20150707170100.000000000,20150707163713.000000000,20150707163357.000000000,20150707163148.000000000,20150707163226.000000000,20150707172523.000000000,DF-15-009064,    240087,D,D6,    321173,,1
FIRE/DOMESTIC,20150706210851.000000000,20150706210531.000000000,20150706210010.000000000,20150706205628.000000000,20150706205916.000000000,20150706212539.000000000,DF-15-009034,    233355,B,D2,    312203,,1
FIRE/DOMESTIC,20150306230435.000000000,20150306210604.000000000,20150306210132.000000000,20150306205833.000000000,20150306210006.000000000,20150306231604.000000000,DF-15-002764,    233734,E,D10,    315506,,1
FIRE/DOMESTIC,20150306220216.000000000,20150306205353.000000000,20150306204927.000000000,20150306204627.000000000,20150306204745.000000000,20150306220438.000000000,DF-15-002761,    228377,A,D12,    324089,,1
FIRE/DOMESTIC PERSONS REPORTED,20150306203004.000000000,20150306200001.000000000,20150306195042.000000000,20150306194820.000000000,20150306194918.000000000,20150306203849.000000000,DF-15-002758,    221637,A,D12,    325438,,1
FIRE/DOMESTIC PERSONS REPORTED,20150306031640.000000000,20150306023113.000000000,20150306022714.000000000,20150306022400.000000000,20150306022459.000000000,20150306031930.000000000,DF-15-002729,    238810,C,D9,    307495,,1
FIRE/DOMESTIC,20150306024519.000000000,20150306022157.000000000,20150306021049.000000000,20150306020740.000000000,20150306020823.000000000,20150306025516.000000000,DF-15-002728,    239162,D,D6,    328484,,1
FIRE/DOMESTIC,20150306004756.000000000,,20150306004610.000000000,20150306004321.000000000,20150306004448.000000000,20150306005054.000000000,DF-15-002721,    233244,B,D7,    309049,,1
FIRE/DOMESTIC PERSONS REPORTED,20150306014051.000000000,20150306004905.000000000,20150306004214.000000000,20150306003909.000000000,20150306004009.000000000,20150306014918.000000000,DF-15-002720,    233244,B,D7,    309049,,1
FIRE/UNDERGROUND,20150305184030.000000000,20150305182332.000000000,20150305181629.000000000,20150305181353.000000000,20150305181508.000000000,20150305185023.000000000,DF-15-002690,    240184,D,D6,    317862,,1
FIRE/DOMESTIC,20150305135954.000000000,20150305135640.000000000,20150305134525.000000000,20150305134311.000000000,20150305134400.000000000,20150305160916.000000000,DF-15-002657,    234662,C,D3,    314822,,1
FIRE/DOMESTIC PERSONS REPORTED,20150304234324.000000000,20150304232800.000000000,20150304232444.000000000,20150304232202.000000000,20150304232301.000000000,20150304235018.000000000,DF-15-002633,    236979,C,D3,    313079,,1
FIRE/CARAVAN,20150304221518.000000000,20150304215626.000000000,20150304215047.000000000,20150304214831.000000000,20150304214917.000000000,20150304221809.000000000,DF-15-002621,    227833,A,D8,    317093,,1
FIRE/DOMESTIC,20150304215004.000000000,20150304211617.000000000,20150304211003.000000000,20150304210800.000000000,20150304210906.000000000,20150304231921.000000000,DF-15-002619,    227684,B,D7,    310173,,1
FIRE/DOMESTIC,20150304123352.000000000,20150304120842.000000000,20150304120430.000000000,20150304120240.000000000,20150304120334.000000000,20150304145206.000000000,DF-15-002593,    233790,B,D2,    313875,,1
FIRE/DOMESTIC,20150304034612.000000000,20150304034334.000000000,20150304033953.000000000,20150304033556.000000000,20150304033746.000000000,20150304035256.000000000,DF-15-002585,    235071,E,D10,    315948,,1
FIRE/DOMESTIC PERSONS REPORTED,20150303233615.000000000,20150303232347.000000000,20150303231713.000000000,20150303231507.000000000,20150303231605.000000000,20150304002039.000000000,DF-15-002584,    227034,B,D7,    310189,,1
FIRE/DOMESTIC,20150303211356.000000000,20150303205458.000000000,20150303205038.000000000,20150303204824.000000000,20150303204916.000000000,20150303215021.000000000,DF-15-002579,    232516,A,D1,    318286,,1
FIRE/DOMESTIC,20150303225845.000000000,20150303192427.000000000,20150303192107.000000000,20150303191734.000000000,20150303191929.000000000,20150303225931.000000000,DF-15-002569,    235517,C,D3,    315863,,1
FIRE/DOMESTIC,20150303111540.000000000,20150303110156.000000000,20150303105941.000000000,20150303105732.000000000,20150303105818.000000000,20150303114616.000000000,DF-15-002547,    236576,C,D3,    315191,,1
FIRE/DOMESTIC,20150303100326.000000000,20150303094746.000000000,20150303094612.000000000,20150303094222.000000000,20150303094427.000000000,20150303100727.000000000,DF-15-002543,    236085,D,D4,    317370,,1
FIRE/DOMESTIC PERSONS REPORTED,20150302221139.000000000,20150302213951.000000000,20150302213759.000000000,20150302213552.000000000,20150302213630.000000000,20150303002945.000000000,DF-15-002530,    240124,F,D5,    315974,,1
FIRE/DOMESTIC,20150302090003.000000000,20150302081930.000000000,20150302081535.000000000,20150302081358.000000000,20150302081456.000000000,20150302090603.000000000,DF-15-002503,    230257,B,D2,    312468,,1
